isInterpolated,useMicroData,CountryCode,CountryName,RegionCode,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr.mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
0,1,ALB,Albania,ECA,N,2013,2012,X,58.16801,1.9,229.9804,0.0102041,0.00200315,0.000679851,0.002505073,0.2896048,199.1258,0.1384171,-1,2.895092,ALB_N2012X,0.0366,0.05193,0.06144,0.07031,0.08084,0.09257,0.1052,0.1229,0.1489,0.2293
0,0,DZA,Algeria,MNA,N,2013,2011.17,X,31.77229,1.9,261.1028,0.003909565,0.00138707,0.001076835,0.001188474,0.2761573,227.6534,0.1253313,0.2260456,38.338562,DZA_N2011X,0.04046,0.05315,0.06358,0.07306,0.08239,0.09232,0.1039,0.119,0.1436,0.2286
0,1,AGO,Angola,SSA,N,2013,2008.5,X,73.83312,1.9,125.6557,0.2845688,0.08846278,0.03987823,0.122068,0.4271551,90.55606,0.3116315,-1,25.99834,AGO_N2008X,0.02072,0.03357,0.04316,0.05305,0.06543,0.0792,0.09651,0.1229,0.1623,0.3231
0,1,ARG,Argentina,LAC,U,2013,2013,Y,2.768382,1.9,645.4612,0.01745828,0.009509279,0.007621929,0.005127033,0.4228384,492.3386,0.3724363,-1,38.90361221,ARG_U2013Y,0.01602,0.03148,0.04308,0.05486,0.06838,0.08354,0.1024,0.1279,0.1667,0.3056
0,1,ARM,Armenia,ECA,N,2013,2013,X,183.7796,1.9,182.3673,0.0244016,0.00562732,0.00191403,0.007023431,0.3154218,152.3229,0.1658885,-1,2.893509,ARM_N2013X,0.03529,0.04954,0.05868,0.06763,0.07753,0.08889,0.1016,0.1183,0.1469,0.2556
0,1,AUS,Australia,OHI,N,2013,2010,Y,1.526641,1.9,1712.225,0.003489756,0.002936851,0.002471546,0.00642953,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
0,1,AUT,Austria,OHI,N,2013,2013,Y,0.8475838,1.9,1723.135,0.002473789,0.00205135,0.00170105,0.004372328,0.3088045,1472.557,0.1743143,-1,8.479375,AUT_N2013Y,0.03121,0.04981,0.06011,0.07007,0.08055,0.09149,0.105,0.1216,0.1466,0.2435
0,1,AZE,Azerbaijan,ECA,N,2013,2008,X,0.3294187,1.9,340.2463,0.003706455,0.001327784,0.00075852,0.002155087,0.3178539,279.2705,0.1688926,-1,9.416801,AZE_N2008X,0.0345,0.0497,0.05884,0.06746,0.07698,0.08811,0.1008,0.1192,0.1471,0.2574
0,1,BGD,Bangladesh,SAS,N,2013,2010,X,24.84915,1.9,122.7076,0.1169009,0.01845167,0.004608477,0.02149972,0.3213032,97.51165,0.1675858,-1,157.571292,BGD_N2010X,0.03853,0.05001,0.05833,0.0663,0.07488,0.08482,0.09735,0.1149,0.1456,0.2692
0,1,BLR,Belarus,ECA,N,2013,2013,X,1832.435,1.9,620.5625,0,0,0,0,0.2657505,548.7532,0.1184392,-1,9.465997,BLR_N2013X,0.03973,0.05562,0.06546,0.07498,0.08395,0.09365,0.1051,0.1196,0.1413,0.2206
0,1,BEL,Belgium,OHI,N,2013,2013,Y,0.879014,1.9,1456.051,0.002473494,0.000727121,0.000213748,0.000860999,0.2766813,1311.267,0.1374128,-1,11.182817,BEL_N2013Y,0.03319,0.05246,0.0652,0.07545,0.0851,0.09535,0.1071,0.1226,0.1455,0.2181
0,1,BLZ,Belize,LAC,N,2013,1999,Y,1.182611,1.9,285.4019,0.1259174,0.05632204,0.03545347,0.0851836,0.5326277,169.4539,0.5582195,-1,0.344181,BLZ_N1999Y,0.009305,0.02282,0.03405,0.04285,0.05338,0.06665,0.08484,0.1092,0.1526,0.4243
1,1,BEN,Benin,SSA,N,2013,,X,224.9172,1.9,82.5138,0.5146557,0.2051138,0.1132068,0.3289639,-1,-1,-1,-1,10.004451,BEN_N2011X,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
